"term","year","district","school","map.grade","subject","rit","se","percentile","goal.fall.fall","goal.spring.spring","goal.fall.spring","goal.fall.winter","hash.id"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"reading",184,3,70,13,,13,7,"0680b7f343ceded43eb1c2da78b97a8aa53a3752761d1ba0efb9cf4a16cee868"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"reading",146,3,13,15,,16,10,"981acdecd8481a263cd8c16eb3c85f67c53dee3882a7fb8a802530ca23222217"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"math",120,3.2,1,26,,23,13,"981acdecd8481a263cd8c16eb3c85f67c53dee3882a7fb8a802530ca23222217"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"reading",142,3,8,15,,16,10,"5694cc1f1c338be9698ebf1aa0cc938305aa03b29f0eb1258ebe077e1bc63e00"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"math",129,3,1,24,,22,12,"5694cc1f1c338be9698ebf1aa0cc938305aa03b29f0eb1258ebe077e1bc63e00"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"math",167,3,19,16,,15,8,"fbb905845f891412ef0b7711ef4790fbe329f1c3adf7d5ee4bebda9b0d56649e"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"reading",156,3,10,18,,16,9,"fbb905845f891412ef0b7711ef4790fbe329f1c3adf7d5ee4bebda9b0d56649e"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",222,3.2,,,,,,"2c414d2fb97d0c497ca4aae933404c8cc0037948590b8e0cd2cc6cf09d7056ff"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",184,3.3,1,,,,,"4a2566c2121d230a17ba3f4d21bf93ac78ab86f5df9dc89d20b11468605359e5"
"fall","2014-2015","ReNEW Charter Schools","AHS",10,"reading",200,4.3,6,3,,2,2,"0c50662992021d4d114ea7c4a0ca19d35b99fa0087f92abda7cdfdc544474429"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"reading",167,3,70,15,,17,10,"b3a1e73ca088808a59f7cfa8b9f9fc4d964bcd6cb31af37ee569351bc00a18af"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"math",167,3,62,14,,15,9,"b3a1e73ca088808a59f7cfa8b9f9fc4d964bcd6cb31af37ee569351bc00a18af"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"math",162,3,11,17,,15,8,"a0de519ff23d1414ddd91de5de2288b0b2195ae5d1e657581d8b1c9823db2333"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"reading",164,3.1,22,16,,15,9,"a0de519ff23d1414ddd91de5de2288b0b2195ae5d1e657581d8b1c9823db2333"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"math",162,3,48,16,,16,10,"028912cf41417869ec251bcf214d30a5d35cd6cda9346af9fcefd0ca8aab42f5"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"reading",153,3,28,15,,17,10,"028912cf41417869ec251bcf214d30a5d35cd6cda9346af9fcefd0ca8aab42f5"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"reading",174,3.4,45,14,,14,8,"3bc1c1019e5d3e61da280f8c41053b05f078a9a5215d0dcccfaeef77f773594e"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"math",162,3.1,11,17,,15,8,"3bc1c1019e5d3e61da280f8c41053b05f078a9a5215d0dcccfaeef77f773594e"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",213,3.1,,,,,,"6bd0ecabe7e6fb34508c3caa77cec9f699b491a121f1dbdd7106e40e41506f25"
"fall","2014-2015","ReNEW Charter Schools","RCAA",2,"reading",155,3,9,18,,17,9,"1e92ebe64840382b51a50826f8a22462c15bad9f93b5a760f1bcc381975f083e"
"fall","2014-2015","ReNEW Charter Schools","RCAA",2,"math",153,3,3,18,,16,9,"1e92ebe64840382b51a50826f8a22462c15bad9f93b5a760f1bcc381975f083e"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"reading",164,3,22,16,,15,9,"e2e9d1afc947e1144ebf47c09e435f9cdab580772e1ae1f3071787c1be54d545"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"math",164,3,14,16,,15,8,"e2e9d1afc947e1144ebf47c09e435f9cdab580772e1ae1f3071787c1be54d545"
"fall","2014-2015","ReNEW Charter Schools","AHS",10,"reading",204,3.3,10,2,,2,2,"0bc39f09315d0cf91f2d95d3f084c21ae5b03a1610ef63791d4697e6270c7cb8"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"math",141,3.1,5,21,,20,11,"cb2910bf1394c59bdacc7921b0018a8491376a5ba04eb90ee37b55c274c5fefe"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"math",175,3,82,12,,14,8,"d3527de568b86bbd90423e804120dbe7abaae3e7df7e58a0a752c91cb8381b08"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"reading",165,3.2,64,15,,17,10,"d3527de568b86bbd90423e804120dbe7abaae3e7df7e58a0a752c91cb8381b08"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",224,3.2,52,,,,,"56a56c430e92096029d6e187bb986c83499498836017988cb703a1e13b2fb2da"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",220,3.3,,,,,,"d116163f41421d6d3ebeac2458a1fe10a010151501c0ce602636bf3d567db995"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",191,3.3,1,,,,,"e5d193c8fcd8dc2bef791ee55f9080f7d60d3088110b39487f68b0c07b415ecb"
